Título;Ubicación;Valor Alquiler;Expensas;Metros Cuadrados;Ambientes;Dormitorios;Baños;Cocheras
Coronel R.L. Falcon 3300;Flores, Capital Federal;$ 380.000;$ 66.000 Expensas;33;1;0;1;0
Arenales  Piso;Recoleta, Capital Federal;USD 700;$ 282.000 Expensas;46;2;1;1;0
Basavilbaso 1350;Retiro, Capital Federal;USD 800;$ 220.000 Expensas;42;1;0;1;0
Congreso 2500;Belgrano, Capital Federal;USD 450;$ 120.000 Expensas;37;2;1;1;0
Rodriguez Peña 1256;Recoleta, Capital Federal;USD 1.200;$ 270.000 Expensas;85;4;3;1;0
Larrea al 1300;Recoleta, Capital Federal;$ 300.000;$ 90.000 Expensas;30;1;0;1;0
Parera;Recoleta, Capital Federal;USD 3.000;$ 850.000 Expensas;235;6;4;3;2
Republica Arabe Siria al 3100;Palermo Chico, Palermo;USD 1.700;$ 600.000 Expensas;120;3;2;2;1
Donado  1900 4°;Villa Urquiza, Capital Federal;USD 1.500;$ 740.000 Expensas;120;4;3;3;2
RAVIGNANI 1392;Palermo Hollywood, Palermo;$ 750.000;$ 170.000 Expensas;90;3;2;2;0
Moldes  3000 8°;Belgrano, Capital Federal;$ 780.000;$ 55.000 Expensas;60;2;1;1;0
Juana Manso 100;Puerto Madero, Capital Federal;USD 2.600;$ 600.000 Expensas;145;4;3;2;1
Rivadavia 3201;Once, Capital Federal;$ 500.000;$ 60.000 Expensas;45;2;1;1;0
Cordoba 600;Centro / Microcentro, Capital Federal;$ 380.000;;45;1;1;1;0
Melian al 2400;Belgrano, Capital Federal;$ 500.000;$ 128.800 Expensas;43;2;1;1;0
Manuela Saenz 446;Puerto Madero, Capital Federal;USD 2.800;;95;3;2;2;2
Beruti al 4500;Palermo Nuevo, Palermo;$ 900.000;$ 113.000 Expensas;68;2;1;2;0
Coronel Diaz 2551;Recoleta, Capital Federal;USD 400;$ 85.000 Expensas;33;2;1;1;0
San José de Calasanz  al 100;Caballito Sur, Caballito;$ 450.000;$ 90.000 Expensas;40;2;1;1;0
Basavilvaso  al 1200;Recoleta, Capital Federal;USD 1.600;;200;4;3;4;1
Ruy Diaz De Guzman  100 7°;Barracas, Capital Federal;$ 1.100.000;$ 200.000 Expensas;90;3;2;2;0
BAUNESS 2553;Villa Urquiza, Capital Federal;$ 600.000;$ 190.000 Expensas;78;3;2;1;0
Manuel Ugarte  al 3800;Coghlan, Capital Federal;$ 490.000;$ 86.000 Expensas;31;2;1;1;0
NAHUEL HUAPI;Villa Urquiza, Capital Federal;$ 420.000;$ 95.000 Expensas;35;1;0;1;0
Rio de Janeiro 824;Caballito, Capital Federal;USD 700;$ 150 Expensas;57;2;1;1;1
Charcas 3351;Palermo, Capital Federal;$ 600.000;$ 75.000 Expensas;36;2;1;1;0
Departamento en Puerto Madero;Puerto Madero, Capital Federal;USD 1.000;$ 350.000 Expensas;60;2;1;1;0
Armenia 2152;Palermo, Capital Federal;$ 650.000;$ 195.000 Expensas;67;3;0;1;0
Olleros 1800;Belgrano, Capital Federal;USD 4.000;;166;4;3;3;2
Bme Mitre 1980, 5° Piso, Entre Sarandi y Combate de los Pozos;Monserrat, Capital Federal;USD 550;$ 55.000 Expensas;45;3;2;2;0
Encarnacion Ezcurra  al 400;Puerto Madero, Capital Federal;USD 1.300;$ 130.000 Expensas;80;3;1;0;1
Av. Asamblea al 300;Parque Chacabuco, Capital Federal;$ 800.000;$ 120.000 Expensas;80;3;2;1;0
Paraguay  al 2400;Recoleta, Capital Federal;$ 900.000;$ 200.000 Expensas;110;2;1;1;0
Pedro Moran 3100;Agronomía, Capital Federal;$ 400.000;$ 45.000 Expensas;0;1;0;1;0
Av Del Libertador  al 3500;Palermo Nuevo, Palermo;USD 2.800;$ 585.000 Expensas;100;3;2;2;1
Cavia  al 3000;Palermo Chico, Palermo;USD 7.000;$ 1.050.000 Expensas;450;8;4;3;2
Godoy Cruz;Palermo Nuevo, Palermo;USD 4.200;$ 280.000 Expensas;150;4;3;3;2
Av Libertador al 4400;Palermo, Capital Federal;USD 10.000;;400;7;4;4;3
Av Las Heras  al 3400;Palermo, Capital Federal;USD 550;$ 110.000 Expensas;45;2;1;1;0
Guatemala;Palermo, Capital Federal;USD 6.700;$ 875.000 Expensas;311;6;5;4;2
Avenida San Martin  al 3200;La Paternal, Capital Federal;$ 350.000;;34;1;1;1;0
Av. Regimiento de Patricios 1052;Barracas, Capital Federal;$ 1.200.000;$ 250.000 Expensas;87;2;1;1;2
Humberto Primero;Monserrat, Capital Federal;$ 900.000;$ 274.000 Expensas;55;3;2;1;1
Av. del Libertador 5800;Belgrano, Capital Federal;$ 880.000;;115;4;3;2;0
coronel diaz 2481;Palermo Chico, Palermo;USD 1.500;;95;3;2;0;1
Guemes 2900;Recoleta, Capital Federal;USD 1.700;;178;6;4;2;0
TUCUMAN 1429, Tribunales, Capital Federal, Argentina.;Tribunales, Capital Federal;$ 290.000;$ 40.800 Expensas;25;1;1;1;0
Beruti al 4600;Palermo Nuevo, Palermo;USD 1.500;$ 500.000 Expensas;120;4;3;3;1
José A. Cabrera 2980;Palermo, Capital Federal;$ 600.000;$ 230.000 Expensas;43;2;1;1;0
Avellaneda 1071;Caballito, Capital Federal;$ 540.000;$ 110.000 Expensas;37;1;0;1;0
Valentin Gomez al 2700;Balvanera, Capital Federal;$ 330.000;$ 75.000 Expensas;31;1;0;1;0
Bulnes;Palermo Chico, Palermo;USD 1.000;$ 200.000 Expensas;40;1;1;0;0
Charcas 2572;Recoleta, Capital Federal;$ 900;$ 160.000 Expensas;66;3;2;0;0
Isabel La Católica  100 5°;Barracas, Capital Federal;$ 390.000;$ 120.000 Expensas;33;1;0;1;0
Juana Manso al 500;Puerto Madero, Capital Federal;USD 1.900;;64;2;1;1;1
Hortiguera al 100;Caballito, Capital Federal;$ 1.100.000;$ 70.000 Expensas;100;2;1;1;0
Tucuman y suipacha;Centro / Microcentro, Capital Federal;USD 450;$ 140.000 Expensas;46;1;1;1;0
Soldado de la Independecia  al 531;Las Cañitas, Palermo;$ 500.000;$ 260.000 Expensas;43;1;0;1;0
Arenales 3455;Palermo, Capital Federal;$ 700.000;;38;1;0;1;0
Av. Rivadavia al 4100;Almagro, Capital Federal;$ 480.000;$ 73.000 Expensas;40;2;1;1;0
Nogoya 2445 y Av San Martín;Villa del Parque, Capital Federal;$ 1.200.000;$ 300.000 Expensas;75;3;2;2;1
Helguera1861 6  A;Villa del Parque, Capital Federal;$ 380.000;$ 97.000 Expensas;32;1;0;1;0
Av. Rivadavia  3200;Balvanera, Capital Federal;$ 800.000;$ 187.000 Expensas;60;3;2;2;0
Luminoso 3 Ambientes en Alquiler en Colegiales, con Amenities!;Colegiales, Capital Federal;$ 900.000;;52;3;2;1;0
AZUCENA VILLAFLOR 500. Entre Torres leparc puerto madero;Puerto Madero, Capital Federal;USD 1.800;$ 460.000 Expensas;83;2;1;2;1
Beaucheft 585;Caballito, Capital Federal;$ 650.000;$ 150.000 Expensas;50;2;1;1;0
Av. Cordoba al 4500;Villa Crespo, Capital Federal;$ 750.000;$ 90.000 Expensas;47;2;1;1;0
Quesada;Villa Urquiza, Capital Federal;$ 380.000;$ 145.000 Expensas;32;1;1;1;0
AV. Congreso  al 2300;Belgrano C, Belgrano;$ 900.000;$ 353.500 Expensas;56;3;2;1;1
Jerónimo Salguero 835, C1192 CABA, Argentina;Almagro, Capital Federal;$ 650.000;;44;1;1;1;0
Avenida Juan Bautista Alberdi al 500;Caballito, Capital Federal;$ 400.000;$ 155.000 Expensas;38;1;0;1;0
Adolfo Alsina 440;Monserrat, Capital Federal;$ 450.000;$ 120.000 Expensas;43;2;1;1;0
La Pampa 717;Palermo Chico, Palermo;USD 600;$ 176.000 Expensas;48;1;0;1;1
Tronador al 2800;Coghlan, Capital Federal;$ 400.000;$ 75.000 Expensas;37;2;1;1;0
Esmeralda 779;San Nicolás, Capital Federal;USD 600;$ 176.000 Expensas;54;2;1;1;0
Av. Juan de Garay 388, C1153ABO Cdad. Autónoma de Buenos Aires, Argentina, San telmo, Capital Federal, Argentina.;San Telmo, Capital Federal;$ 450.000;$ 79.000 Expensas;50;2;1;1;0
Pueyrredon;Barrio Norte, Capital Federal;$ 480.000;$ 120.000 Expensas;37;2;0;1;0
UGARTECHE 3322;Recoleta, Capital Federal;$ 750.000;$ 105.000 Expensas;65;3;2;1;0
Guise 1886;Palermo Soho, Palermo;$ 680.000;$ 220.000 Expensas;45;2;1;1;0
BOLIVIA;Flores Norte, Flores;USD 600;$ 56.000 Expensas;45;2;1;1;0
Arroyo al 900;Recoleta, Capital Federal;USD 3.800;$ 750.000 Expensas;240;6;3;3;0
Soler 4900. Entre Thames y Uriarte;Palermo, Capital Federal;$ 1.200.000;$ 200.000 Expensas;73;4;3;1;0
Av Corriente  al 800;Congreso, Capital Federal;$ 380.000;$ 130.000 Expensas;40;1;1;1;0
Marta Lynch al 500;Puerto Madero, Capital Federal;USD 5.800;$ 160.000 Expensas;212;4;3;4;2
Arzobispo Espinosa 1590;Barracas, Capital Federal;$ 750.000;;40;1;0;1;0
Fitz Roy 1947;Palermo Hollywood, Palermo;$ 600.000;$ 120.000 Expensas;40;1;0;0;0
Guido  al 1600;Recoleta, Capital Federal;USD 1.300;$ 600.000 Expensas;90;3;2;3;1
Carlos Pellegrini  al 1300;Retiro, Capital Federal;USD 2.200;$ 1.500.000 Expensas;253;0;3;3;2
Suipacha 1041;Retiro, Capital Federal;USD 800;$ 300.000 Expensas;44;1;0;1;1
Olleros 1800;Las Cañitas, Palermo;USD 2.700;$ 900.000 Expensas;270;5;4;5;2
Dorrego al 2600;Las Cañitas, Palermo;$ 850.000;$ 240.000 Expensas;54;2;1;1;1
Concepción Arenal;Palermo, Capital Federal;USD 2.200;;98;3;2;2;1
Ortega y Gasset 1834;Las Cañitas, Palermo;USD 700;$ 120.000 Expensas;54;2;1;1;1
Azucena Villaflor  al 559;Puerto Madero, Capital Federal;USD 7.300;;250;4;3;3;1
Doblas 200;Caballito, Capital Federal;$ 480.000;;40;2;1;1;0
Paraguay  al 3000;Barrio Norte, Capital Federal;$ 1.200.000;$ 230.000 Expensas;82;4;3;2;0
Único Departamento de 4 Ambientes en Alquiler - Alvear Tower, Puerto Madero;Puerto Madero, Capital Federal;USD 7.200;$ 2.300.000 Expensas;255;4;3;4;3
LA PAMPA 1730;Belgrano C, Belgrano;$ 1.850.000;$ 464.800 Expensas;107;4;3;2;0
Beiro 3351 PB A;Villa Devoto, Capital Federal;$ 750.000;$ 192.900 Expensas;104;4;3;0;0
Dirección no informada;Palermo Nuevo, Palermo;USD 2.500;$ 700.000 Expensas;120;3;2;2;1
Libertad 400;Centro / Microcentro, Capital Federal;$ 490.000;$ 133.000 Expensas;49;2;1;1;0
Mendez de Andes 527. Entre Colpayo y Av honorio pueyrredon;Caballito Norte, Caballito;USD 900;$ 350.000 Expensas;74;3;2;2;0
viel 650;Caballito Norte, Caballito;$ 650.000;;49;1;1;1;0
Guatemala al 4900;Palermo Soho, Palermo;$ 850.000;;45;2;1;1;0
Av Belgrano 312;Monserrat, Capital Federal;$ 570.000;$ 80.000 Expensas;50;2;1;1;0
Ugarteche;Palermo Chico, Palermo;USD 3.000;;180;4;3;4;1
San Pedrito;Flores, Capital Federal;$ 490.000;$ 129.000 Expensas;52;2;1;1;1
Costa Rica 5543;Palermo, Capital Federal;USD 480;$ 93.000 Expensas;34;1;0;1;0
Rodriguez Peña 1700;Recoleta, Capital Federal;$ 850.000;$ 277.000 Expensas;60;3;2;1;0
Aguirre al 100;Villa Crespo, Capital Federal;$ 730.000;$ 120.000 Expensas;80;3;2;1;0
Gamarra 1850;Villa Urquiza, Capital Federal;$ 690.000;$ 160.000 Expensas;52;2;1;2;0
Av. de los Incas al 3300;Belgrano R, Belgrano;USD 4.000;;340;6;4;3;2
Av del Libertador 7600;Núñez, Capital Federal;$ 2.200.000;$ 500.000 Expensas;156;4;3;2;1
Gurruchaga 2374;Palermo, Capital Federal;$ 400.000;$ 140.000 Expensas;38;1;0;1;0
Pereyra Lucena 2500;Palermo Chico, Palermo;$ 1.350.000;$ 350.000 Expensas;120;4;3;1;0
Callao  al 1100;Recoleta, Capital Federal;USD 900;$ 150.000 Expensas;105;4;3;3;0
Olazabal 2879;Belgrano, Capital Federal;USD 1.500;$ 400.000 Expensas;170;3;2;2;0
Azucena Villaflor 500;Puerto Madero, Capital Federal;USD 3.500;;74;1;1;1;1
Av. Corrientes 3900;Almagro, Capital Federal;$ 630.000;$ 109.000 Expensas;65;3;2;1;0
Paunero 2749 - 7º A;Palermo, Capital Federal;$ 740.000;$ 120.000 Expensas;70;2;1;1;0
Carlos Pellegrini 1521;Retiro, Capital Federal;USD 3.500;$ 1.200.000 Expensas;280;6;3;4;2
Azucena villaflor 669;Puerto Madero, Capital Federal;USD 5.000;$ 1.500.000 Expensas;236;6;3;5;4
Julieta Lanteri 1200;Puerto Madero, Capital Federal;USD 4.000;$ 1.700.000 Expensas;230;4;3;3;2
Puerto Madero Complejo Madero Plaza;Puerto Madero, Capital Federal;USD 850;;62;2;1;1;1
Nahuel Huapi 4900;Villa Urquiza, Capital Federal;$ 600.000;;45;2;1;1;0
Jorge Newbery;Colegiales, Capital Federal;USD 800;;45;2;1;1;1
Yerbal 727;Caballito, Capital Federal;$ 400.000;$ 85.000 Expensas;31;2;1;1;0
Marcelo T. DE Alvear  al 1200;Recoleta, Capital Federal;$ 1.200.000;$ 400.000 Expensas;125;4;3;2;1
Libertador 6000;Belgrano, Capital Federal;$ 550.000;$ 140.000 Expensas;46;1;0;1;0
Marta Lynch 551, Puerto Madero, Capital Federal, Argentina.;Puerto Madero, Capital Federal;USD 5.000;$ 830.000 Expensas;170;4;3;3;1
Ugarteche al 3100;Botánico, Palermo;$ 360.000;$ 181.000 Expensas;32;2;1;1;0
Avenida Libertador  7700 8°;Núñez, Capital Federal;USD 590;$ 200.000 Expensas;46;1;0;1;0
Olleros  1800 9°;Las Cañitas, Palermo;USD 4.000;$ 505.000 Expensas;155;4;3;3;1
Acoyte;Caballito, Capital Federal;$ 1.400.000;$ 250.000 Expensas;80;4;3;2;1
venezuela 1100;Monserrat, Capital Federal;$ 390.000;$ 100.000 Expensas;28;1;1;1;0
Jeronimo Salguero 1900 - 2 Amb;Barrio Norte, Capital Federal;$ 420.000;$ 65.000 Expensas;40;2;1;1;0
Guatemala al 5100;Palermo Soho, Palermo;USD 6.000;;307;5;4;4;1
Paroissien  1600;Lomas de Núñez, Núñez;$ 900.000;$ 220.000 Expensas;61;2;1;1;1
Sucre;Belgrano R, Belgrano;$ 1.500.000;;90;3;2;2;1
Paraguay;Barrio Norte, Capital Federal;USD 590;;37;0;0;0;0
Lima 581;San Cristobal, Capital Federal;$ 400.000;$ 140.000 Expensas;42;1;1;1;0
UGARTE 2117;Núñez, Capital Federal;$ 360.000;$ 66.000 Expensas;38;1;0;1;0
Arenales 3489;Palermo, Capital Federal;USD 1.750;$ 350.000 Expensas;170;4;3;3;1
Av. Cnel. Diaz 2300;Palermo Chico, Palermo;USD 1.800;$ 270.000 Expensas;110;4;3;2;1
Posadas 1120;Recoleta, Capital Federal;USD 1.800;$ 470.000 Expensas;109;3;2;2;1
Tomás Lebretón  al 5000;Villa Urquiza, Capital Federal;$ 490.000;$ 97.000 Expensas;33;1;0;1;0
Avenida Córdoba 2088;Barrio Norte, Capital Federal;$ 600.000;$ 130.000 Expensas;72;2;1;1;0
Suipacha  al 900;Retiro, Capital Federal;$ 320.000;$ 67.000 Expensas;24;1;0;1;0
Ayacucho  al 1500;Recoleta, Capital Federal;$ 1.400.000;$ 300.000 Expensas;110;3;2;1;0
GIRIBONE 1550;Villa Ortuzar, Capital Federal;$ 700.000;;51;2;1;1;0
Ortega y Gasset al 1500;Las Cañitas, Palermo;$ 850.000;$ 225.025 Expensas;49;2;1;1;1
Laprida al 1900;Recoleta, Capital Federal;USD 1.500;;95;3;2;2;0
CIUDAD DE LA PAZ 2139;Belgrano, Capital Federal;$ 900.000;$ 230.000 Expensas;83;3;2;1;1
Juana Manso 1600;Puerto Madero, Capital Federal;USD 900;$ 200.000 Expensas;60;2;1;1;0
JUNCAL 2100;Recoleta, Capital Federal;$ 450.000;$ 110.000 Expensas;42;2;1;1;0
Cramer;Belgrano R, Belgrano;$ 650.000;$ 90.000 Expensas;37;1;0;1;0
Diaz Velez 4628;Parque Centenario, Capital Federal;USD 600;$ 180.000 Expensas;50;2;1;1;0
Boulogne Sur Mer 700;Balvanera, Capital Federal;$ 650.000;$ 95.000 Expensas;68;3;2;1;0
Talcahuano y Corrientes;Centro / Microcentro, Capital Federal;$ 625.000;$ 80.000 Expensas;58;2;1;0;0
Manuela Saenz 400;Puerto Madero, Capital Federal;USD 6.000;;180;4;3;4;2
Quirno costa 1280;Barrio Norte, Capital Federal;$ 400.000;;40;1;1;1;0
Juncal  al 3200;Barrio Norte, Capital Federal;USD 3.800;$ 530.000 Expensas;172;4;3;4;1
Aimé Painé 1100;Puerto Madero, Capital Federal;USD 3.800;$ 1.500.000 Expensas;97;2;1;1;1
POSADAS 1463. Entre Av. callao y Rodriguez peÑa;Recoleta, Capital Federal;$ 690.000;$ 240.000 Expensas;74;3;2;3;0
Aime Paine 1600;Puerto Madero, Capital Federal;USD 1.500;$ 350.000 Expensas;72;3;2;2;1
Avellaneda 51;Caballito, Capital Federal;$ 395.000;$ 95.000 Expensas;30;2;1;1;0
Jean Jaures 800;Balvanera, Capital Federal;$ 450.000;$ 85.000 Expensas;43;2;1;1;0
Nogoya 3856 2 C 2 C 2 C 2 C 2 C;Villa del Parque, Capital Federal;$ 360.000;$ 133.000 Expensas;0;1;0;1;0
Av Callao 1158;Recoleta, Capital Federal;$ 550.000;$ 120.000 Expensas;40;2;0;1;0
esmeralda 920;Retiro, Capital Federal;USD 1.400;$ 330.000 Expensas;76;3;2;1;0
Republica Arabe Siria 3300;Palermo, Capital Federal;USD 2.200;$ 600.000 Expensas;155;4;3;0;1
Juana Manso 700. Entre Manuela saenz;Puerto Madero, Capital Federal;USD 2.800;;115;3;2;0;1
Beruti 4500;Palermo, Capital Federal;$ 750.000;$ 210.000 Expensas;50;2;1;1;0
Humboldt 2250;Palermo Hollywood, Palermo;USD 700;$ 130.000 Expensas;62;2;1;1;0
Arce 500 - LAS Cañitas 2 AMB CON Cochera - Amoblado;Las Cañitas, Palermo;USD 1.500;$ 400.000 Expensas;67;2;1;1;1
Suipacha  1308;Retiro, Capital Federal;USD 2.100;$ 500.000 Expensas;220;4;3;2;1
Azcuenaga al 1900;Recoleta, Capital Federal;$ 460.000;;27;1;1;1;0
Av. Alvear 1500;Recoleta, Capital Federal;USD 1.200;$ 396.455 Expensas;88;2;1;1;1
Rocamora;Almagro, Capital Federal;USD 430;$ 150.000 Expensas;40;1;0;1;0
Moldes 2100;Belgrano, Capital Federal;$ 580.000;$ 205.000 Expensas;63;3;2;1;0
Arenales;Barrio Norte, Capital Federal;$ 1.600.000;$ 280.000 Expensas;172;5;4;2;0
Cordoba 1479;Barrio Norte, Capital Federal;$ 600.000;$ 90.000 Expensas;64;2;1;1;0
Jerónimo Salguero 835, C1192 CABA, Argentina;Almagro, Capital Federal;$ 650.000;;44;1;1;1;0
Rosario 800;Caballito, Capital Federal;$ 320.000;$ 40.000 Expensas;23;1;0;1;0
JOSÉ LEÓN CABEZÓN 3600;Villa Devoto, Capital Federal;$ 500.000;$ 140.000 Expensas;50;2;1;1;0
Olleros  1700 14°;Las Cañitas, Palermo;USD 4.000;$ 493.000 Expensas;155;4;3;3;2
Billinghurst  al 2500;Palermo, Capital Federal;USD 2.500;$ 650.000 Expensas;205;5;3;4;1
Montevideo 1700;Recoleta, Capital Federal;$ 1.300.000;$ 531.300 Expensas;145;3;2;2;0
Berutti al 4500;Palermo, Capital Federal;USD 700;$ 97.000 Expensas;35;2;1;1;0
Diagonal Norte al 800;Centro / Microcentro, Capital Federal;$ 650.000;$ 150.000 Expensas;57;2;1;1;0
Arenales 2540;Palermo, Capital Federal;$ 450.000;$ 200.000 Expensas;50;2;1;1;0
Malvinas Argentinas 870;Caballito, Capital Federal;$ 700.000;$ 145.000 Expensas;60;2;1;1;0
Av. Caseros 2400. Entre Alberti y Matheu;Parque Patricios, Capital Federal;$ 340.000;$ 75.000 Expensas;0;2;1;0;0
Av Triunvirato  al 3700;Villa Urquiza, Capital Federal;$ 560.000;$ 140.000 Expensas;64;2;1;1;0
UGARTECHE 3322;Recoleta, Capital Federal;$ 750.000;$ 105.000 Expensas;65;3;2;1;0
Av rivadavia;Almagro Norte, Almagro;USD 800;$ 120.000 Expensas;61;2;1;1;1
Rodriguez Peña y Alvear;Recoleta, Capital Federal;$ 850.000;$ 320.000 Expensas;95;4;3;1;0
Rosario 500;Parque Rivadavia, Caballito;$ 400.000;$ 65.000 Expensas;42;2;1;1;0
Bauness 2900;Villa Urquiza, Capital Federal;$ 690.000;$ 127.000 Expensas;65;3;2;2;0
Trinidad Guevara;Puerto Madero, Capital Federal;USD 3.400;$ 1.600.000 Expensas;179;4;3;3;1
Viamonte al 700;Centro / Microcentro, Capital Federal;$ 500.000;$ 92.000 Expensas;40;2;1;1;0
Av del Libertador  al 2800;Palermo Chico, Palermo;USD 6.000;;310;4;3;3;1
Parera 171;Recoleta, Capital Federal;USD 3.000;$ 850.000 Expensas;250;6;4;3;2
Godoy Cruz 2449;Palermo Soho, Palermo;$ 650.000;$ 170.000 Expensas;42;1;0;1;0
Las cañitas;Las Cañitas, Palermo;$ 600.000;$ 200.000 Expensas;45;2;1;1;0
Billinghurst 1323;Palermo, Capital Federal;$ 400.000;$ 160.000 Expensas;35;1;0;1;0
Armenia 2341;Palermo, Capital Federal;$ 450.000;;30;2;1;1;0
General Lucio Norberto Mansilla 3900;Palermo, Capital Federal;USD 1.200;;66;2;1;1;0
Concepción Arenal  al 2900;Palermo Hollywood, Palermo;USD 1.600;;51;2;1;1;1
PAGANO  2600;Recoleta, Capital Federal;$ 480.000;;36;1;0;1;0
Avellaneda 1071;Caballito, Capital Federal;$ 540.000;$ 110.000 Expensas;37;1;0;1;0
Machado 600;Caballito, Capital Federal;$ 460.000;;35;1;0;1;0
Quesada al 2600;Núñez, Capital Federal;USD 500;$ 120.000 Expensas;61;1;1;1;0
Juan A. Garcia 2952 7mo A;Villa Santa Rita, Capital Federal;$ 800.000;$ 262.000 Expensas;54;3;2;1;0
del barco centenera 520;Caballito, Capital Federal;$ 1.100.000;$ 280.000 Expensas;65;3;2;1;1
Libertad al 1600;Recoleta, Capital Federal;USD 2.000;$ 1 Expensas;110;4;3;2;0
Juramento 1700. Entre Virrey  Vertiz;Barrio Chino, Belgrano;$ 650.000;$ 93.000 Expensas;59;3;2;1;0
callao 1971;Recoleta, Capital Federal;USD 1.700;$ 410.000 Expensas;114;4;3;2;0
Pierina Dealessi 500;Puerto Madero, Capital Federal;USD 2.700;;106;2;1;2;1
Arenales 1735;Recoleta, Capital Federal;$ 550;;34;1;0;1;0
Junin  al 174;Congreso, Capital Federal;$ 1.100.000;$ 80.000 Expensas;70;4;3;1;0
Avenida Juan Bautista Alberdi al 500;Caballito, Capital Federal;$ 400.000;$ 155.000 Expensas;38;1;0;1;0
Paraguay 4400 (lem-3);Palermo Soho, Palermo;USD 1.300;$ 500.000 Expensas;83;3;2;2;1
Nuñez al 2400;Núñez, Capital Federal;$ 550.000;$ 100.000 Expensas;51;1;0;1;0
Tucuman y suipacha;Centro / Microcentro, Capital Federal;USD 450;$ 140.000 Expensas;46;1;1;1;0
Blanco Encalada;Belgrano, Capital Federal;$ 600.000;$ 120.000 Expensas;60;3;2;1;0
Uriburu 1380;Recoleta, Capital Federal;USD 1.300;$ 180.000 Expensas;80;3;2;2;0
Humberto 1° 2300;San Cristobal, Capital Federal;$ 530.000;$ 85.000 Expensas;37;2;1;1;0
gral urquiza 400;Balvanera, Capital Federal;$ 400.000;$ 100.000 Expensas;45;3;2;1;0
Av Libertador  al 2500;Palermo Chico, Palermo;USD 5.000;;420;7;6;3;0
Dirección no informada;Primera Junta, Caballito;$ 400.000;$ 100.000 Expensas;38;2;1;0;0
Vilela al 2700;Saavedra, Capital Federal;$ 450.000;$ 80.300 Expensas;40;2;1;1;0
Montañeses  al 3100;Núñez, Capital Federal;USD 2.000;$ 330.000 Expensas;48;2;1;1;1
Sanchez de Bustamante;Palermo, Capital Federal;USD 600;;35;1;1;1;0
Arribeños 2989;Núñez, Capital Federal;$ 700.000;$ 139.000 Expensas;50;2;1;1;1
juan francisco Seguí 4653, 14 G;Palermo Nuevo, Palermo;$ 1.000.000;$ 166.000 Expensas;70;3;0;2;0
Ramallo al 4600;Saavedra, Capital Federal;$ 550.000;$ 60.000 Expensas;42;1;0;1;1
Godoy Cruz 1450 1ro A;Palermo, Capital Federal;$ 600.000;$ 173.000 Expensas;40;2;1;1;0
Avenida Dorrego;Las Cañitas, Palermo;$ 700.000;$ 195.000 Expensas;46;2;1;1;0
AZCUENAGA DOMINGO DE 1000;Recoleta, Capital Federal;USD 1.000;$ 346.296 Expensas;200;4;3;2;0
TRES DE FEBRERO 1069;Belgrano C, Belgrano;$ 350.000;$ 200.000 Expensas;32;1;0;1;0
Paraguay  al 2400;Recoleta, Capital Federal;$ 900.000;$ 200.000 Expensas;110;2;1;1;0
Guemes 4700;Palermo, Capital Federal;$ 430.000;$ 96.000 Expensas;42;2;1;1;0
Talcahuano 300. Entre Av. corrientes y Sarmiento;San Nicolás, Capital Federal;$ 760.000;$ 250.000 Expensas;105;6;5;2;0
Cabildo AL 500;Colegiales, Capital Federal;$ 450.000;$ 55.000 Expensas;33;2;1;1;0
Paraguay al 4800;Palermo, Capital Federal;USD 500;$ 120.000 Expensas;45;1;0;1;0
Blanco Encalada al 5500;Villa Urquiza, Capital Federal;$ 800.000;$ 175.000 Expensas;67;3;2;1;0
Lafinur;Botánico, Palermo;$ 999.999;$ 210.000 Expensas;90;4;2;1;0
Marcelo T de Alvear al 2000;Recoleta, Capital Federal;$ 420.000;$ 45.000 Expensas;33;2;1;1;0
Amenabar 702;Colegiales, Capital Federal;$ 500.000;$ 190.000 Expensas;41;2;1;1;0
Bolivar 623;San Telmo, Capital Federal;$ 470.000;$ 77.000 Expensas;31;2;1;1;0
Blanco Encalada  5300 8°;Villa Urquiza, Capital Federal;$ 550.000;$ 178.135 Expensas;30;2;1;1;0
Garay 700 (cag-15c3-a);San Telmo, Capital Federal;USD 800;$ 350.000 Expensas;42;2;1;1;1
Moldes 1259;Belgrano, Capital Federal;USD 950;$ 120.000 Expensas;60;2;1;1;0
José A Cabrera  al 4100;Palermo Viejo, Palermo;$ 500.000;$ 140.000 Expensas;25;1;0;1;0
Guemes 3355;Palermo, Capital Federal;USD 3.100;;110;3;2;2;0
Amenabar  al 2900;Belgrano, Capital Federal;USD 550;$ 143.000 Expensas;45;1;1;1;0
Anchorena 1577 2 E - Alquiler con Muebles Monoambiente;Barrio Norte, Capital Federal;$ 460.000;$ 138.000 Expensas;30;1;0;1;0
Carlos Gardel 3130;Abasto, Capital Federal;$ 380.000;$ 45.000 Expensas;32;1;0;1;0
Moreno al 500;San Telmo, Capital Federal;USD 700;;32;1;1;1;0
Thames al 2300;Palermo, Capital Federal;$ 450.000;$ 320.000 Expensas;43;1;1;1;0
AVENIDA SANTA FE 2630;Barrio Norte, Capital Federal;USD 800;$ 200.000 Expensas;40;1;0;1;0
Mansilla 3245;Palermo, Capital Federal;$ 600.000;$ 190.000 Expensas;50;2;1;1;0
